LAB|BTCUSD|5|first=1785715200000|from=1785888000000|last=1789284600000|nD=40|uIn=4
V13|149|49|29701.8|-28882|3992.7|2723.4|16671522.2|0
V14|153|49|28416.9|-28318.3|4108.2|3068.2|17815482.1|0
V15|150|46|28466.4|-29547.5|4024|4161.2|20901769.7|0
V16|72|22|7232.9|-10827.9|1932.5|5512.2|8192211.6|0
V17|265|93|37216.9|-40565.1|7138.7|8288.9|18945057.7|0
V18|185|60|34583.8|-32008.5|4934.5|4068.9|20271908.9|0
V19|340|147|38430.8|-41551.8|9120.1|6535.7|22005044.7|0
V20|127|37|16923.1|-22938.7|3402.1|9662.8|22815281.9|0
V21|115|25|17410|-23490.2|3077.8|10295|24839239.8|0
V22|113|33|12557.5|-19953|3027.5|8869.9|13572530.2|0
V23|111|32|16807.8|-23040.7|2980.5|6653.9|20223493.9|0
V24|108|26|21198|-23668.1|2904.1|5750.5|33602644.4|0
V25|135|46|24562.4|-26758.8|3625.5|5789.9|21534134.5|0
V26|462|228|37741.7|-50314.4|12411.8|12967.5|22933698.2|0
V27|160|55|16352|-24238.1|4306|9272.4|12754427.5|0
V28|648|219|48611.7|-70135|17439.4|22813.2|40155847.5|0
V29|479|121|41871.8|-62445|12902.5|21944.7|51177007.2|0
V30|273|37|28847.7|-46193.2|7387.1|18763.6|55054571.5|0
V31|50|18|3301|-4825|1337.9|1640.1|1757189.5|0
V32|221|83|30112.3|-28805.5|5944|5095|20146559.8|0
LAB|BTCUSD|5|first=1708300800000|from=1708473600000|last=1711524600000|nD=36|uIn=0
V01|154|55|53496.1|-43260|3919|4175.1|97063682|0
V02|173|58|45399.9|-44929.3|4384.6|6520|69651817.3|0
V03|185|75|47386.2|-45096.4|4717.7|5554.7|64895834.5|0
V04|168|65|56139.6|-42906.5|4277.9|4541.8|88018494|0
V05|108|41|50438.1|-32567.7|2732.2|4072.5|99187645.7|0
V06|131|49|47585.8|-35509.5|3332.8|4459|91488637.3|0
V07|169|58|55135.4|-49077.3|4316.6|4756.2|115651077.8|0
V08|171|50|49118.4|-52778.9|4297.6|6366.5|65810773.8|0
V09|101|36|31727.6|-27302.5|2552.5|6530.2|47543553.9|0
V10|168|53|51308.5|-56459.4|4248.9|6836.2|84662192.5|0
V11|158|56|43753.4|-39571|3995.6|8732.3|67127659.8|0
V12|70|20|16397|-17867|1784.2|3922.2|24545290.4|0
V13|155|55|53551.4|-44316.3|3944.2|4489.9|90271822|0
V14|149|54|48112.9|-40562.2|3785.8|4806|56176164.2|0
V15|160|57|56353.4|-44605.8|4070.7|4257.7|99009883.7|0
V16|72|23|16386.7|-16021.3|1837.7|3506.3|26437067.7|0
V17|264|91|62450.6|-69703.5|6668.5|17149.8|82744245.5|0
V18|184|56|52080.8|-58220.4|4679.5|12277.5|84250822.1|0
V19|319|132|61689.8|-69443.2|8087.8|20363.2|83091055.1|0
V20|91|30|26036.5|-25575.3|2277.5|5904.3|36329186.6|0
V21|79|16|24292.4|-26717.7|1992|7732.8|44804682|0
V22|75|28|23763.5|-19234.9|1886.6|4132.9|34242980.4|0
V23|109|37|34668.5|-36794.7|2724.6|7562.8|45113863.2|0
V24|88|22|31363|-35249.4|2184.2|8844.8|64129282.4|0
V25|140|49|45045.7|-42059.4|3475.1|6733.7|63729081.4|0
V26|425|203|60188.6|-78817.2|10881.6|20518.3|37958118.7|0
V27|150|61|28246.9|-31353.6|3811.1|6859.1|27086268.2|0
V28|659|203|82402|-113944.1|16697.9|33572.5|98843035.9|0
V29|514|131|89173.2|-101503.9|13028.1|20665.7|97529394.4|0
