LAB|XAUUSD|5|first=1784498400000|from=1784678400000|last=1789160100000|nD=37|uIn=4
V27|193|75|551.7|-807.6|289.8|334.8|14185.9|0
V28|703|220|1360.6|-2359.3|1047.7|1044.7|57219|0
V29|534|129|1220.8|-2028.3|796.7|822.8|46207.9|0
V30|307|41|917.2|-1405.1|458.8|556.9|47635.2|0
V31|54|20|148.6|-168.4|80.9|61.5|2528.1|0
V32|209|68|709.3|-924.7|313|293.9|19033.2|0
LAB|XAUUSD|5|first=1748815200000|from=1748995200000|last=1753314900000|nD=36|uIn=0
V01|150|43|486.9|-814.4|201|333.4|16213|0
V02|183|58|559.8|-770.8|245.2|227.5|14732.8|0
V03|186|78|565.7|-795.8|249.2|253.2|11364.9|0
V04|161|55|548.5|-807.5|215.8|286.4|13863.9|0
V05|128|29|432.9|-768.4|171.5|351.3|14466.9|0
V06|128|36|436.3|-698.2|171.5|266.7|13273.9|0
V07|178|50|579.3|-928.2|238.3|382.1|18032.4|0
V08|162|43|491|-883.1|217|397.4|17893|0
V09|89|23|252.2|-480.7|119.2|228.5|8540.8|0
V10|179|51|619.1|-969|239.9|349.9|22833.3|0
V11|173|55|507.2|-770.8|231.9|267.4|14601.7|0
V12|71|21|220|-316.5|95.1|108.1|4380.3|0
V13|151|43|490.4|-816.9|202.3|332.4|15398.1|0
V14|146|41|466.7|-774.3|195.7|313.5|17057.3|0
V15|153|46|532|-808.6|205.1|297.8|15760.9|0
V16|71|26|224.2|-288.8|95.2|89.8|3723.8|0
V17|280|101|877.1|-1166.6|374.7|354|18185.3|0
V18|223|64|702.3|-1091.7|298.5|397.6|24779.5|0
V19|351|150|864.1|-1208.1|470.3|373.8|13647.4|0
V20|100|44|448.1|-411.9|133.9|91.2|4745|0
V21|86|20|301.2|-483.2|115.2|181.9|7469|0
V22|83|36|366.9|-348.7|111.1|90.1|3819|0
V23|125|43|499.5|-628.9|167.4|220.5|17892.1|0
V24|105|24|495.3|-634.8|140.6|227.3|24419.1|0
V25|141|49|575.9|-719.6|188.8|202.1|17241.6|0
V26|474|238|643.5|-1277.8|635.3|643.8|18389.4|0
V27|182|76|361.6|-607.9|244.1|266.9|5920.8|0
V28|858|287|1158.9|-2512.3|1149.7|1370|67269.7|0
V29|691|179|1233.1|-2313.7|925.7|1080.6|53790.3|0
V30|359|52|967.9|-1483.4|480.8|528.1|38843.8|0
V31|40|14|51.8|-118.1|53.6|66.2|840.9|0
V32|210|80|600.9|-721|281.3|154|12429.4|0
LAB|XAUUSD|5|first=1742162400000|from=1742342400000|last=1746662100000|nD=35|uIn=9
V01|163|54|1078.6|-1028|208|170.8|43750.1|1
V02|180|60|1020.8|-1020.8|229.1|221.3|29176.5|1
V03|202|82|945.9|-1142.3|258.2|208|18322.3|1
V04|184|66|1082.8|-1107.6|234.7|179.7|24864.2|1
V05|148|44|1158.3|-964.4|188.1|159.7|62039.6|1
V06|130|44|897.1|-799.1|166.1|124.2|34253|1
V07|179|54|1086.8|-1176.4|228.3|239.9|47101|2
V08|179|56|1203.5|-1168|228.3|184.8|46088.6|1
V09|99|26|536.4|-665.6|126.5|153.7|17295.5|1
V10|176|59|1178|-1144|224.5|286.3|53104.7|1
V11|199|65|1030.8|-1030.8|253.3|168.2|34105.7|1
V12|69|26|502.5|-385.4|88|92.4|14876.6|1
V13|165|53|1080.7|-1055.8|210.5|171.9|43792.9|1
V14|153|49|973.8|-948.6|195|147.5|44422.3|1
V15|163|51|1024.2|-1080.6|208.1|223.9|37936.3|1
V16|69|26|396.6|-385.4|88|112.3|9806.6|0
V17|258|87|1234.1|-1475|328.6|279|32058.1|1
V18|191|58|1027.2|-1211.3|242.7|224|34376.4|1
V19|327|126|1179.7|-1591.3|416.5|425.1|31722.9|2
V20|83|34|517.6|-525|106.2|106.3|12512|1
V21|77|26|606.9|-537|98.6|161|26292.9|1
V22|67|26|379.7|-436.6|85.6|127.6|10527|2
V23|105|40|708.4|-654.6|134.2|172.5|20998.3|0
V24|94|25|615.5|-717.3|120|294|31339.7|0
V25|135|52|933.1|-857.7|172.6|169.9|23382.5|0
V26|491|233|1124.1|-1880.7|626.5|827.6|36136.8|5
V27|208|83|634.3|-912.2|265.2|304|19890.6|3
V28|730|245|1758.6|-2804|930.2|1049.3|73017.2|6
V29|608|167|1923.3|-2617.7|774.1|708.6|69096.3|3
V30|352|49|1268.8|-1926.4|449.1|663.6|54473.9|1
V31|46|16|145.5|-157.5|58.6|47.8|2131.6|0
V32|207|72|911.4|-1065.1|264.2|207.4|16794.9|1
LAB|XAUUSD|5|first=1734303600000|from=1734480000000|last=1739404500000|nD=39|uIn=0
V01|160|47|413.2|-589.8|174.1|270.8|9428.4|0
V02|194|54|383.6|-634.6|210.6|340.8|11225.5|0
V03|187|74|367.2|-587|203.6|252.7|7420.1|0
V04|169|54|375.1|-603.2|183.8|288.9|9137.4|0
V05|144|33|372.7|-590.7|156.4|284.4|10997.4|0
V06|139|40|329.2|-499.3|151.1|223.8|6777.3|0
V07|162|52|491|-579.5|176.5|165.5|9811.6|0
V08|161|44|394.1|-626.9|175.4|286.7|10020.2|0
V09|109|27|198.6|-405.1|118.5|230.6|4843.7|0
V10|180|61|523.5|-654|196.1|259.8|8861.4|0
V11|194|48|322.8|-655.4|211.2|355.8|8439.9|0
V12|77|26|183.4|-213.8|83.7|108|3170.6|0
V13|160|46|401.3|-596.8|174.1|269.7|9729|0
V14|153|45|401.1|-548.3|166.5|247|8823.5|0
V15|161|47|421.1|-589.4|174.9|275.5|9739.8|0
V16|77|31|167.1|-197.2|83.7|96.8|2571.2|0
V17|271|80|489.5|-880.6|293.9|407.4|10250.1|0
V18|226|60|465.4|-802.2|245.7|356.5|8812.7|0
V19|345|130|495.9|-888.6|375.4|413.4|8511.8|0
V20|107|36|212.5|-355.3|116.2|142.8|3124.4|0
V21|99|23|250.4|-370.2|107.6|129.3|4487.6|0
V22|86|26|160.1|-299.1|93.1|139.1|2728.4|0
V23|124|41|312.2|-475.7|135.4|231.5|6624.9|0
V24|109|30|391.9|-455.5|118.7|159.2|8165.7|0
V25|142|47|357.5|-537.1|155.3|233.9|8654.2|0
V26|507|252|444.2|-996.4|551.3|562.8|11659.4|0
V27|207|78|227.3|-509.4|225.7|291.7|4545.4|0
V28|787|237|677.1|-1754.4|855.5|1078.5|34401.8|0
V29|647|134|682.9|-1662.1|703.6|981.5|32950.1|0
V30|334|41|599.3|-997.2|365.9|413.2|20268.9|0
V31|68|22|44.5|-168.4|73.9|123.9|991|0
V32|224|64|305.3|-671.9|243.4|387.3|8323|0
LAB|XAUUSD|5|first=1728252000000|from=1728432000000|last=1732751700000|nD=36|uIn=0
V01|169|50|492.2|-663|180.6|195.2|7051.8|0
V02|203|63|480.3|-701.5|217.2|252.4|8108.2|0
V03|199|75|427|-699.5|212.5|301.4|8754|0
V04|179|57|457.4|-678.7|191.1|229.6|7018.5|0
V05|155|39|505.9|-651.2|165.5|167.1|6586.8|0
